,data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,Label
127,178,4,267.4761905,0.010668701,0.223452753,0,0,2.023809524,2.357142857,0
284,322,1,505.4285714,-0.035515365,0.257019686,0,0,2.5,2.5,0
15,30,3,57.14285714,-0.026286495,0.234705552,0,0,2.857142857,2.785714286,0
96,181,0,267.0952381,-0.013087465,0.20214107,0,0,2.19047619,2.25,0
666,606,5,1699.095238,0.025368429,0.206206248,388.7142857,0,3.285714286,1,2
178,312,5,754.5238095,-0.037817063,0.269398968,0,0,2.5,2.5,0
749,733,6,206923.1905,0.021778014,0.152631528,0.047619048,136.3809524,4,3.571428571,2
213,906,4,111224,-0.013318126,0.23556124,0,24.38095238,1,1,0
768,872,5,54386.28571,0.026277409,0.193070508,0,83.14285714,1,1,2
707,616,1,2093.285714,0.008632409,0.123876941,362.8571429,0,1.857142857,1,2
357,744,3,330086.2857,0.019569478,0.208091663,0.095238095,168.8095238,3.857142857,2.785714286,1
132,820,2,16370.95238,-0.037052749,0.275163803,0,478.2857143,1,1,0
313,173,6,218.3809524,0.045420287,0.313945855,0,0,1.666666667,2.5,0
401,446,6,579.8571429,0.000330801,0.247948119,1.476190476,0,2,2,1
129,929,6,51971.66667,-0.025079329,0.264952428,0,76.9047619,1,1,0
537,343,1,369.9047619,-0.012767907,0.224739897,0,0,2.476190476,2,1
721,281,2,595.1428571,0.025672215,0.193824191,0,0,2.19047619,2.5,2
591,836,4,8336.714286,-0.012134276,0.172471807,0,309.1904762,1,1,1
590,673,2,4373.428571,-0.033904957,0.240298906,543.047619,156.047619,4,4,1
941,149,3,15.23809524,-0.002179963,0.033690987,0,0,1,1.285714286,2
5,43,2,19.95238095,-0.04046846,0.28061727,0,0,2.904761905,2,0
930,687,2,4693.904762,0.006244114,0.046791411,236.2857143,647,4,4,2
501,546,1,1687.285714,-0.010166601,0.326839812,454.7619048,0,4,4,1
150,796,6,44079,-0.021254133,0.228139727,0,384.2380952,1,1,0
742,636,0,3668.761905,0.023575602,0.172433869,469.4761905,1.714285714,1,1.428571429,2
500,547,2,1698.761905,-0.019009471,0.315350965,464.7142857,0,4,4,1
631,498,2,1105.380952,0.034605208,0.266296995,182.5714286,0,2.857142857,4,1
831,55,0,5,-0.018137035,0.132208893,0,0,2.333333333,1.142857143,2
764,80,4,19.47619048,0.010660981,0.21258149,0,0,1,1,2
567,517,0,1501.285714,0.010235439,0.216207258,353.2857143,0,4,4,1
244,828,3,10928.7619,-0.027497365,0.267183572,0,392.4761905,1,1,0
603,738,4,273731.8571,0.032831551,0.237403472,0.095238095,136.952381,4,3.214285714,1
6,39,5,30.9047619,-0.035555556,0.267796329,0,0,3,2.142857143,0
223,118,0,32,0.014512987,0.262202212,0,0,1,1,0
813,842,3,7597.952381,-0.002219283,0.06255825,0,227.7142857,1,1,2
198,119,1,32,0.007709312,0.223150819,0,0,1,1,0
93,182,1,263.2380952,-0.020967687,0.209554011,0,0,2.214285714,2.214285714,0
547,379,2,413.1428571,-0.000113479,0.202737682,0,0,2,2,1
302,746,5,342912.4286,0.015382921,0.197804696,0.095238095,134.7142857,3.761904762,2.642857143,0
227,132,0,25.57142857,-0.027965368,0.240223294,0,0,1,1,0
871,845,6,7580.714286,0.002901523,0.05817472,0,180.8571429,1,1,2
85,189,1,206.6666667,-0.03360472,0.235976921,0,0,2.357142857,2,0
42,23,3,75.57142857,-0.020655535,0.228504888,0,0,2.523809524,3,0
722,878,4,71924.47619,0.019611783,0.17421217,0,47.95238095,1,1,2
726,638,2,3912.619048,0.021914826,0.172384004,494.3809524,3.238095238,1,1.857142857,2
837,78,2,14.52380952,0.002597403,0.131584292,0,0,1,1,2
428,538,0,1739.47619,-0.001074351,0.305894097,415.2380952,0,4,4,1
326,210,1,76.04761905,-0.024611454,0.247514875,0,0,2,1.428571429,1
747,626,4,2639.904762,0.014930769,0.118169134,425.4285714,0,1,1,2
713,619,4,2249,0.009729615,0.11826502,378.5714286,0,1.428571429,1,2
359,415,3,630.3809524,-0.000780025,0.278137625,0.19047619,0,2,2,1
31,3,4,369.9047619,0.003887116,0.252930922,0,0,1.619047619,2.357142857,0
912,855,2,12802.42857,0.009966062,0.080379932,0,105.047619,1,1,2
380,172,5,205.1428571,0.048217011,0.324651252,0,0,1.619047619,2.464285714,1
179,303,3,942.1428571,-0.013768639,0.167163165,0,0,2.5,2.5,0
523,948,4,24435.80952,-0.013358631,0.235314541,0,348.1904762,1,1,1
402,350,1,391.8095238,0.016448889,0.289069734,0,0,2.30952381,2,1
141,309,2,836.1428571,-0.032360869,0.237949202,0,0,2.5,2.5,0
824,64,2,6.095238095,0.028078818,0.311664772,0,0,1.666666667,1,2
472,365,2,403.6190476,-0.022026349,0.286705965,0,0,2,2,1
576,593,6,1620,-0.021141856,0.216536627,422.8571429,0,4,2.714285714,1
421,352,3,392.6666667,0.0123775,0.283727132,0,0,2.261904762,2,1
73,784,1,89068.19048,-0.03491462,0.254415167,0,323.5714286,1.285714286,1,0
159,917,1,82660.42857,-0.029848318,0.242487419,0,43.57142857,1,1,0
725,474,6,486.8095238,0.000915436,0.095770805,9.857142857,0,2,2,2
911,850,4,9166.285714,0.006712681,0.060315038,0,122.047619,1,1,2
340,944,0,27233.42857,-0.01796739,0.239387443,0,310.4761905,1,1,1
320,100,3,37.28571429,-0.010890864,0.213368451,0,0,1,1,1
566,512,2,1451.095238,-0.005337218,0.189694233,316.1428571,0,4,4,1
759,630,1,2954.952381,0.017882081,0.132231894,440,0.047619048,1,1,2
932,688,3,5098.714286,0.00688704,0.051884158,219.2857143,676.3333333,4,4,2
114,926,3,59557.28571,-0.025956439,0.26926627,0,35.76190476,1,1,0
57,778,2,130555.7143,-0.034308096,0.249056466,0,390,1.571428571,1,0
351,650,0,5880.380952,0.036241479,0.287892586,602,10.04761905,1.285714286,4,1
19,11,5,312,-0.042739755,0.288220985,0,0,2,2.928571429,0
282,207,5,83.28571429,-0.024952097,0.248201578,0,0,2.047619048,1.642857143,0
163,933,3,43424.47619,-0.02199975,0.233400278,0,137.8571429,1,1,0
914,700,1,16371.04762,0.015154564,0.099634753,43.66666667,828.047619,4,4,2
616,397,6,492.6190476,0.029691103,0.227561549,0,0,2,2,1
660,601,0,1561.904762,0.016616592,0.214983425,400.3809524,0,4,1,2
103,758,3,329650.4286,-0.018378005,0.187732914,0,119.1428571,3.047619048,1.785714286,0
206,662,5,5992.333333,-0.024043066,0.230439061,676.0952381,39.04761905,3,4,0
262,899,4,120541,0.004895983,0.242731646,0,23.85714286,1,1,0
574,516,6,1488.619048,0.009136638,0.213699351,349.9047619,0,4,4,1
586,288,2,772.2380952,0.038384437,0.282003695,0,0,2.357142857,2.5,1
543,506,3,1392.952381,0.014407055,0.184600249,253.8571429,0,3.619047619,4,1
610,952,1,23546.47619,-0.01950194,0.237690995,0,350.5714286,1,1,1
816,66,4,7.952380952,0.017818946,0.154410097,0,0,1.571428571,1,2
86,813,2,23250.38095,-0.03003798,0.238906321,0,538.952381,1,1,0
655,604,3,1642.571429,0.015849643,0.19048526,387.3333333,0,3.571428571,1,2
880,713,0,53834.2381,0.018151359,0.118642606,2.142857143,465.7619048,4,4,2
240,128,3,28.0952381,-0.018932179,0.225520497,0,0,1,1,0
310,327,6,441.3809524,-0.016684152,0.226175398,0,0,2.5,2.5,0
395,448,1,575.9047619,-0.017340654,0.228273587,1.476190476,0,2,2,1
404,292,6,875.2857143,0.040623138,0.307638322,0,0,2.452380952,2.5,1
249,666,2,5466.52381,-0.043123668,0.302028546,652.7619048,64.9047619,3.571428571,4,0
896,848,2,8204.571429,0.0030934,0.04337394,0,140.8095238,1,1,2
297,212,3,74.38095238,-0.018490526,0.242939484,0,0,2,1.285714286,0
544,507,4,1412.190476,0.015073825,0.187058686,265.2857143,0,3.714285714,4,1
140,930,0,49764.57143,-0.025758325,0.267429354,0,79.9047619,1,1,0
754,489,0,755.7619048,0.030430933,0.216129395,90.80952381,0,2,4,2
525,342,0,373.8571429,-0.012066768,0.223278931,0,0,2.5,2,1
809,484,2,571.8095238,0.012238362,0.10446675,53.23809524,0,2,3.285714286,2
844,722,2,104203.8571,0.019576557,0.134371463,0.19047619,189,4,4,2
47,19,6,112.047619,-0.025848939,0.227124946,0,0,2.333333333,3,0
413,108,4,33.9047619,-0.022170686,0.257308672,0,0,1,1,1
2,40,6,27.04761905,-0.030002952,0.231396569,0,0,3,2.071428571,0
69,762,0,283760.619,-0.02063807,0.207238837,0,141.6190476,2.666666667,1.5,0
637,388,4,432.4285714,0.005537283,0.132217969,0,0,2,2,2
907,163,3,71.04761905,0.028490071,0.216578454,0,0,1.19047619,2.142857143,2
870,715,2,61436.57143,0.018343576,0.119964416,1.333333333,416.5714286,4,4,2
41,0,1,349.4285714,0.028179098,0.268448247,0,0,1.476190476,2.142857143,0
372,113,2,31.61904762,-0.017012987,0.252422784,0,0,1,1,1
780,841,2,7742.952381,-0.005697755,0.075318111,0,248,1,1,2
593,382,5,417.3333333,0.000810268,0.123696729,0,0,2,2,1
180,910,1,103831.1905,-0.025082802,0.240905592,0,50.14285714,1,1,0
511,171,4,188.4761905,0.048131398,0.32241272,0,0,1.571428571,2.428571429,1
719,82,6,22.52380952,0.014347557,0.246753628,0,0,1,1,2
154,797,0,42210.28571,-0.020529608,0.224868363,0,382.8095238,1,1,0
584,950,6,23886.66667,-0.010452375,0.231523687,0,355.2857143,1,1,1
546,592,5,1654.952381,-0.02479728,0.230230858,428.8571429,0,4,2.928571429,1
776,871,4,51256.57143,0.026446317,0.193829549,0,89.57142857,1,1,2
354,833,1,9157.571429,-0.029883655,0.264235552,0,342.0952381,1,1,1
210,659,2,6289.333333,-0.022083319,0.223684743,685.2857143,28.80952381,2.571428571,4,0
644,390,6,437.7619048,0.014536638,0.149448798,0,0,2,2,2
665,600,6,1538.428571,0.012285973,0.203345806,402.3333333,0,4,1.214285714,2
929,697,5,11690.42857,0.010381704,0.066973818,69.47619048,804.6666667,4,4,2
222,127,2,29,-0.014054834,0.208107285,0,0,1,1,0
328,328,0,427.047619,-0.017475104,0.260636282,0,0,2.5,2.5,1
943,160,0,38.76190476,0.015418688,0.145231211,0,0,1.047619048,2.035714286,2
286,576,3,2133.666667,0.004969148,0.205768719,460.8571429,0,4,4,0
137,932,2,45777.33333,-0.02710231,0.255711401,0,106.1428571,1,1,0
183,198,3,119.2380952,-0.030224321,0.232350585,0,0,2.261904762,2,0
748,635,6,3540.142857,0.022897651,0.169064372,461.4285714,1.619047619,1,1.214285714,2
635,222,6,60.33333333,0.002710333,0.163984723,0,0,1.714285714,1,2
611,286,0,730.4285714,0.042528009,0.283402237,0,0,2.30952381,2.5,1
38,1,2,355.5714286,0.019886273,0.264036458,0,0,1.523809524,2.214285714,0
204,904,2,116131,-0.014873153,0.239069643,0,24.38095238,1,1,0
946,159,6,26.61904762,0.008660017,0.080187428,0,0,1,2,2
197,121,3,31.9047619,0.000221056,0.22445596,0,0,1,1,0
416,536,5,1745.095238,0.002745916,0.303247828,411.3333333,0,4,4,1
948,154,1,17.04761905,-0.000834153,0.02634976,0,0,1,1.642857143,2
