data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
572,6,0.4195,0.0273,0.2472,1,0,0.4417,0.4338,-0.001632782230840126,1,0.1861,0.1588,1.172,1.171,0.0273,25.4,0.5876,-375.6,-0.1626,0.0002,3275.9,1554,2308,1.484,1
311,4,0.5276,-0.0354,0.2502,0,0,0.6389,0.6389,-0.004735188702127487,0,0.1282,0.1724,0.743,0.743,-0.0442,15.7,0.8986,12.1,0.0236,-0.0193,1204.3,1204,509,0.422,1
558,6,0.2097,0.0088,0.1331,1,0,0.4477,0.44,0.003040404040740364,1,0.1926,0.1769,1.089,1.088,0.0158,44.0,0.0835,140.0,0.0666,0.0013,2333.2,1431,2101,1.467,1
456,2,0.6056,-0.0062,0.2317,0,0,0.5,0.4424,-0.001896670715371251,0,0.1045,0.1129,0.926,0.926,-0.0084,82.8,-0.0119,-131.5,-0.3307,0.021,708.5,624,396,0.634,0
88,5,0.3137,0.0282,0.2691,0,0,0.5403,0.5377,0.005055591797152785,2,0.2196,0.1132,1.94,1.94,0.1064,6.5,0.2887,-12.2,-0.3348,-0.058,91.5,5,35,5.311,1
762,0,0.533,-0.0206,0.2072,0,1,0.2994,0.1389,-0.006070873268370669,0,0.2014,0.2,1.007,0.892,0.0014,495.4,-0.2252,-101225.0,-0.7231,-0.0047,421313.6,248430,139994,0.564,0
631,2,0.2006,0.0155,0.1279,1,0,0.4334,0.4577,0.009167970741908395,2,0.1983,0.1766,1.123,1.122,0.0218,31.9,0.6385,-762.1,-0.2534,-0.0005,4765.6,2440,3006,1.231,1
938,1,0.3355,-0.0265,0.2259,0,1,0.1164,0.1111,-0.004284017410604463,0,0.0896,0.1614,0.555,0.547,-0.0718,9.7,0.771,-2336.8,-0.1619,0.0387,71419.2,70692,14428,0.204,1
657,0,0.7028,0.0001,0.2043,1,0,0.4639,0.4629,-0.003835517939746722,0,0.2271,0.2,1.135,1.132,0.0271,25.6,-2.3849,-2027.7,-0.3962,-0.0166,9138.5,4163,5116,1.229,0
680,2,0.0668,-0.0028,0.0448,1,0,0.4626,0.4265,0.02022567227440127,2,0.0257,0.054,0.476,0.475,-0.0283,24.5,-0.4566,617.7,0.17,0.0436,5314.2,5314,3632,0.683,0
662,5,0.6387,-0.024,0.2304,1,0,0.4637,0.4626,-0.004108303789643343,0,0.1847,0.2,0.924,0.921,-0.0153,45.4,0.5074,131.3,0.0257,-0.0286,7682.8,6775,5115,0.755,1
